"Lithic contact"|0|0|0|||||||"23051615"|"13312466"
"Ochric epipedon"|0|0|0|20|33|76|20|33|76|"23051617"|"13312468"
"Argillic horizon"|20|33|76|152|200|200|76|167|170|"23051617"|"13312467"
"Fragipan"|46|53|71|76|86|132|5|33|86|"23051618"|"13312471"
"Ochric epipedon"|0|0|0|5|18|25|5|18|25|"23051618"|"13312469"
"Argillic horizon"|5|18|25|200|200|200|175|182|195|"23051618"|"13312470"
"Fragipan"|33|51|64|65|74|127||23||"23051619"|"13312475"
"Ochric epipedon"|0|0|0|15|18|23||18||"23051619"|"13312472"
"Argillic horizon"|15|18|23|65|86|127||68||"23051619"|"13312473"
"Redox depletions with chroma 2 or less"|30|46|61|33|51|64||5||"23051619"|"13312474"
"Fragipan"|40|51|75|60|71|135||20||"23051620"|"13312478"
"Ochric epipedon"|0|0|0|8|10|18||10||"23051620"|"13312476"
"Argillic horizon"|8|10|18|200|200|200||190||"23051620"|"13312477"
"Ochric epipedon"|0|0|0|10|25|28|10|25|28|"23051621"|"13312479"
"Argillic horizon"|10|25|28|58|91|122|30|66|92|"23051621"|"13312480"
"Ochric epipedon"|0|0|0|10|20|41||20||"23051622"|"13312481"
"Argillic horizon"|10|20|41|43|119|145||99||"23051622"|"13312482"
"Ochric epipedon"|0|0|0|20|27|50||27||"23051623"|"13312484"
"Argillic horizon"|20|27|50|50|54|84||27||"23051623"|"13312483"
"Ochric epipedon"|0|0|0|40|65|75||65||"23051624"|"13312485"
"Argillic horizon"|40|65|75|75|127|144||62||"23051624"|"13312486"
"Ochric epipedon"|0|0|0|40|65|75||65||"23051626"|"13312487"
"Argillic horizon"|40|65|75|75|127|144||62||"23051626"|"13312488"
"Ochric epipedon"|0|0|0|20|27|50||27||"23051627"|"13312490"
"Argillic horizon"|20|27|50|50|54|84||27||"23051627"|"13312489"
"Ochric epipedon"|0|0|0|20|27|50||27||"23051632"|"13312492"
"Argillic horizon"|20|27|50|50|54|84||27||"23051632"|"13312491"
"Ochric epipedon"|0|0|0|8|17|33||||"23051633"|"13312494"
"Argillic horizon"|33|46|56|50|76|83||||"23051633"|"13312495"
"Redox depletions with chroma 2 or less"|8|17|33|203|203|203||||"23051633"|"13312493"
"Ochric epipedon"|0|0|0|40|65|75||65||"23051634"|"13312496"
"Argillic horizon"|40|65|75|75|127|144||62||"23051634"|"13312497"
"Ochric epipedon"|0|0|0|8|17|33||||"23051635"|"13312499"
"Argillic horizon"|33|46|56|50|76|83||||"23051635"|"13312500"
"Redox depletions with chroma 2 or less"|8|17|33|203|203|203||||"23051635"|"13312498"
"Ochric epipedon"|0|0|0|8|17|33||||"23051638"|"13312502"
"Argillic horizon"|33|46|56|50|76|83||||"23051638"|"13312503"
"Redox depletions with chroma 2 or less"|8|17|33|203|203|203||||"23051638"|"13312501"
"Ochric epipedon"|0|0|0|40|65|75||65||"23051639"|"13312504"
"Argillic horizon"|40|65|75|75|127|144||62||"23051639"|"13312505"
"Ochric epipedon"|0|0|0|25|28|41||28||"23051640"|"13312506"
"Argillic horizon"|25|28|41|200|200|200||172||"23051640"|"13312507"
"Ochric epipedon"|0|0|0|10|20|41||20||"23051641"|"13312508"
"Argillic horizon"|10|20|41|43|119|145||99||"23051641"|"13312509"
"Ochric epipedon"|0|0|0|25|28|41||28||"23051642"|"13312510"
"Argillic horizon"|25|28|41|200|200|200||172||"23051642"|"13312511"
"Ochric epipedon"|0|0|0|10|20|41||20||"23051643"|"13312512"
"Argillic horizon"|10|20|41|43|119|145||99||"23051643"|"13312513"
"Fragipan"|50|74|104|71|138|192|33|64|142|"23051644"|"13312516"
"Ochric epipedon"|0|0|0|10|13|23|10|13|23|"23051644"|"13312514"
"Argillic horizon"|20|26|39|71|138|192|51|112|118|"23051644"|"13312515"
"Lithic contact"|51|79|99|||||||"23051645"|"13312519"
"Ochric epipedon"|1|2|5|8|13|20|3|11|19|"23051645"|"13312517"
"Argillic horizon"|8|13|20|51|79|99|31|66|91|"23051645"|"13312518"
"Ochric epipedon"|0|0|0|18|23|30||23||"23051646"|"13312521"
"Argillic horizon"|18|23|30|200|200|200|170|177|182|"23051646"|"13312520"
"Ochric epipedon"|1|2|4|18|32|53|14|30|52|"23051647"|"13312522"
"Argillic horizon"|18|32|53|200|200|200|147|168|182|"23051647"|"13312523"
"Ochric epipedon"|0|0|0|18|20|40|18|20|40|"23051648"|"13312524"
"Argillic horizon"|18|20|40|200|200|200|160|180|182|"23051648"|"13312525"
"Ochric epipedon"|0|0|0|10|15|43|10|15|43|"23051649"|"13312526"
"Ochric epipedon"|0|0|0|15|20|25|15|20|25|"23051650"|"13312527"
"Ochric epipedon"|0|0|0|10|15|23|10|15|23|"23051651"|"13312528"
"Aquic conditions"|10|30|51|200|200|200||170||"23051657"|"13312531"
"Mollic epipedon"|0|0|0|23|36|76|23|36|76|"23051657"|"13312529"
"Argillic horizon"|23|36|76|200|200|200|124|164|177|"23051657"|"13312530"
"Ochric epipedon"|0|0|0|15|20|30|15|20|30|"23051658"|"13312532"
"Argillic horizon"|15|20|30|200|200|200|170|180|185|"23051658"|"13312533"
"Redox depletions with chroma 2 or less"|61|68|76|76|84|91||16||"23051658"|"13312534"
"Ochric epipedon"|0|0|0|10|25|28|10|25|28|"23051659"|"13312535"
"Argillic horizon"|10|25|28|58|91|122||66||"23051659"|"13312536"
"Ochric epipedon"|0|0|0|28|48|66|28|48|66|"23051660"|"13312537"
"Argillic horizon"|28|48|66|90|114|175|24|66|147|"23051660"|"13312538"
"Ochric epipedon"|0|0|0|20|33|76|8|33|76|"23051661"|"13312540"
